2026-07-29 00:56:42,904 | ERROR   | telegram     | telegram sendPhoto failed: 400 — Bad Request: group chat was upgraded to a supergroup chat
2026-07-29 00:56:44,086 | ERROR   | telegram     | telegram upload_photo failed: Bad Request: group chat was upgraded to a supergroup chat
2026-07-29 00:56:44,087 | WARNING | telegram     | ارسال با عکس نشد (Bad Request: group chat was upgraded to a supergroup chat) — فقط متن می‌رود
2026-07-29 00:56:44,235 | ERROR   | telegram     | telegram sendMessage failed: 400 — Bad Request: group chat was upgraded to a supergroup chat
2026-07-29 00:56:44,237 | ERROR   | main         | ارسال به گروه ناموفق بود (ADMIN_CHAT_ID را چک کن)
2026-07-29 00:56:51,149 | ERROR   | telegram     | telegram sendPhoto failed: 400 — Bad Request: group chat was upgraded to a supergroup chat
2026-07-29 00:56:52,209 | ERROR   | telegram     | telegram upload_photo failed: Bad Request: group chat was upgraded to a supergroup chat
2026-07-29 00:56:52,210 | WARNING | telegram     | ارسال با عکس نشد (Bad Request: group chat was upgraded to a supergroup chat) — فقط متن می‌رود
2026-07-29 00:56:52,355 | ERROR   | telegram     | telegram sendMessage failed: 400 — Bad Request: group chat was upgraded to a supergroup chat
2026-07-29 00:56:52,356 | ERROR   | main         | ارسال به گروه ناموفق بود (ADMIN_CHAT_ID را چک کن)
2026-07-29 00:56:56,869 | ERROR   | telegram     | telegram sendMessage failed: 400 — Bad Request: group chat was upgraded to a supergroup chat
2026-07-29 00:56:56,869 | ERROR   | main         | ارسال به گروه ناموفق بود (ADMIN_CHAT_ID را چک کن)
2026-07-29 00:57:07,028 | ERROR   | telegram     | telegram sendMessage failed: 400 — Bad Request: group chat was upgraded to a supergroup chat
2026-07-29 00:57:07,028 | ERROR   | main         | ارسال به گروه ناموفق بود (ADMIN_CHAT_ID را چک کن)
2026-07-29 00:57:14,784 | ERROR   | telegram     | telegram sendPhoto failed: 400 — Bad Request: group chat was upgraded to a supergroup chat
2026-07-29 00:57:15,814 | ERROR   | telegram     | telegram upload_photo failed: Bad Request: group chat was upgraded to a supergroup chat
2026-07-29 00:57:15,814 | WARNING | telegram     | ارسال با عکس نشد (Bad Request: group chat was upgraded to a supergroup chat) — فقط متن می‌رود
2026-07-29 00:57:15,972 | ERROR   | telegram     | telegram sendMessage failed: 400 — Bad Request: group chat was upgraded to a supergroup chat
2026-07-29 00:57:15,973 | ERROR   | main         | ارسال به گروه ناموفق بود (ADMIN_CHAT_ID را چک کن)
2026-07-29 01:07:39,054 | WARNING | src.base     | GET https://nitter.space/FabrizioRomano/rss -> 403
2026-07-29 01:07:39,176 | WARNING | src.base     | GET https://rsshub.rssforever.com/twitter/user/FabrizioRomano -> 503
2026-07-29 01:07:39,347 | WARNING | src.base     | GET https://lightbrd.com/FabrizioRomano/rss -> 403
2026-07-29 01:07:39,892 | WARNING | src.base     | GET https://xcancel.com/FabrizioRomano/rss -> 400
2026-07-29 01:10:44,896 | WARNING | src.base     | GET https://nitter.net/NicoSchira/rss -> 429
2026-07-29 01:10:54,732 | WARNING | src.base     | GET https://lightbrd.com/NicoSchira/rss -> 403
2026-07-29 01:10:58,740 | WARNING | src.base     | GET https://xcancel.com/NicoSchira/rss -> 400
2026-07-29 01:11:36,269 | WARNING | src.base     | GET https://nitter.net/NicoSchira/rss -> 429
2026-07-29 01:18:52,523 | WARNING | src.base     | GET https://nitter.net/PhysioScout/rss -> 429
2026-07-29 01:19:03,099 | WARNING | src.base     | GET https://lightbrd.com/PhysioScout/rss -> 403
2026-07-29 01:19:04,599 | WARNING | src.base     | GET https://xcancel.com/PhysioScout/rss -> 400
2026-07-29 01:19:37,228 | WARNING | src.base     | GET https://nitter.net/PhysioScout/rss -> 429
2026-07-29 01:20:38,264 | WARNING | src.base     | GET https://nitter.net/PhysioScout/rss -> 429
2026-07-29 01:58:10,196 | WARNING | translate    | opencode-deepseek ناموفق → سرویس بعدی | HTTPSConnectionPool(host='opencode.ai', port=443): Read timed out. (read timeout=45)
